"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"RC-PART";"RS-PART";"SUPPLIER";"VALUE";
"74151-1";"74S151D";"74S151D";"SO16";"Data SELECTOR/MULTIPLEXER";"";"";"";"";"";"";"";"436-7436";"";"";
"74238";"74HC238DN";"74HC238DN";"SO16";"1 of 8 noninverting DECODER/DEMULTIPLEXER";"";"";"";"";"";"";"";"483-6487 (10off)";"";"";
"75151-2";"74S151D";"74S151D";"SO16";"Data SELECTOR/MULTIPLEXER";"";"";"";"";"";"";"";"436-7436";"";"";
"BUT1";"PB6149L-5";"PB6149L-5";"PB6149L";"";"";"";"";"";"";"";"";"";"";"";
"BUT2";"PB6149L-5";"PB6149L-5";"PB6149L";"";"";"";"";"";"";"";"";"";"";"";
"BUT3";"PB6149L-5";"PB6149L-5";"PB6149L";"";"";"";"";"";"";"";"";"";"";"";
"C3";"100n";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C4";"10u";"CPOL-US153CLV-0505";"153CLV-0505";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C5";"100n";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C6";"10u";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C7";"10u";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C8";"100n";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C9";"100n";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C10";"100n";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C11";"100n";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C12";"100n";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C13";"100n";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C14";"100n";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C17";"22p";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C18";"22p";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"CLK_IN";"S_JACK";"S_JACK";"S_JACK";"";"";"";"";"";"";"";"";"";"";"";
